instant_day,dteday,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,instant_hour,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
2,2011-01-01,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
3,2011-01-01,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
4,2011-01-01,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
5,2011-01-01,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
6,2011-01-01,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
7,2011-01-01,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
7,2011-01-01,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
7,2011-01-01,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
7,2011-01-01,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
